x0,x1,x2,time,status
-0.6169611,0.24421754,-0.12454452,0.8474936,0.0
-0.4470715,0.6037443,0.9162787,5.810155,1.0
0.36692587,0.42540404,-0.25949848,17.822994,1.0
0.12239237,0.0061663305,-0.9724631,5.1505804,0.0
0.23079236,-0.8492375,-0.262352,10.577768,1.0
0.8662802,0.30275628,-0.20559484,0.9549931,0.0
-0.71246636,0.40852195,0.4091626,5.1834607,1.0
0.06662033,-0.9133519,0.12286616,0.8930788,1.0
0.21438742,0.13188928,-0.9864719,17.758028,0.0
0.23488341,0.82424575,0.58104825,1.0426302,1.0
-0.42949808,0.2498334,-0.04381241,14.775173,0.0
-0.6086497,-0.2353651,-0.8922526,21.699533,0.0
-0.7612382,0.4770461,0.17460726,5.241533,1.0
0.7999304,-0.16649292,0.07170332,9.529722,0.0
0.41199514,-0.7003326,0.49212682,9.799484,1.0
0.90285754,-0.039281644,0.0051191268,3.2778656,1.0
0.07375639,0.63840413,-0.8857687,11.49008,0.0
0.3388435,0.5342333,0.41623074,3.475769,1.0
0.5937344,0.115521654,0.93167305,0.87297636,1.0
-0.7056862,-0.940706,0.18778698,8.889569,1.0
-0.7718686,0.9016197,-0.34858516,10.132209,1.0
-0.61276263,-0.0843767,0.8408051,8.374692,1.0
0.7581383,-0.4947685,-0.3039824,16.573553,1.0
-0.63482255,0.8035921,0.4130563,1.180482,1.0
0.19830956,-0.41774952,-0.6972095,15.631136,0.0
-0.32965067,0.31510356,-0.85331494,21.173061,0.0
-0.88998723,-0.35361037,0.1809636,8.197463,0.0
0.80129725,0.95448285,0.11378936,1.1958371,1.0
-0.71512926,0.10493788,-0.45391348,4.7617736,0.0
0.9489903,0.33557382,-0.48869342,6.373035,1.0
-0.783377,0.5523614,0.564956,2.5968091,1.0
0.13673516,-0.5964886,0.39659274,12.297351,1.0
0.637407,0.09024433,-0.09749189,13.17458,1.0
-0.56873184,0.4698904,-0.2687618,10.952252,1.0
0.6032052,0.5654712,0.40271077,1.924416,1.0
0.24555318,-0.012634709,0.6810754,1.9175714,1.0
-0.27352047,0.46144357,-0.048866853,30.0,0.0
-0.31116605,0.28176087,-0.74758935,30.0,0.0
-0.6570695,0.47417298,-0.7459412,16.212946,0.0
0.60474837,0.8911065,0.95807767,0.16615435,1.0
0.76246446,0.25536385,0.86097306,0.71940887,1.0
-0.832946,0.5216983,0.018544894,6.240978,1.0
0.32209483,0.26062888,-0.25814635,20.776941,1.0
-0.55336154,-0.16087241,-0.85417956,7.9369273,1.0
0.30167815,0.51137227,0.86420244,0.5124372,1.0
-0.24719168,-0.40614542,-0.25611138,10.825327,1.0
0.19647437,-0.787079,-0.40568203,7.402931,1.0
-0.883216,0.24264972,-0.9546391,12.986276,0.0
0.12655023,-0.92367166,0.13103345,6.1567454,1.0
0.31774697,-0.6334673,0.59482265,9.160574,1.0
0.22473486,0.11130677,0.25898308,0.6014658,1.0
0.37236014,-0.5192349,0.57585555,8.470071,1.0
0.71295494,0.45559204,0.38469028,0.34693098,1.0
-0.055298124,0.7137459,0.32948667,5.031603,1.0
0.13080402,-0.65421766,0.13322096,11.346603,1.0
0.028008506,0.73774177,0.44069448,5.2729177,0.0
0.39940652,0.8031378,0.96738464,0.7688597,1.0
0.14846882,0.054484155,-0.6046939,7.502156,0.0
-0.21201637,0.42802653,-0.64819145,11.237377,1.0
-0.43272585,0.07341205,0.54647744,4.9346724,1.0
0.7606872,0.2747829,0.7052045,0.26106232,1.0
0.77846014,-0.89546716,0.5663674,6.59175,1.0
-0.89605755,0.031972177,-0.19000755,10.017363,1.0
0.13827716,0.9064818,0.7707745,1.4650662,1.0
0.03927089,-0.584418,0.7501956,3.90803,0.0
0.94757783,0.070963755,-0.11040401,14.938393,1.0
0.935183,0.8600576,-0.6306403,2.1324787,1.0
-0.8250568,0.77393186,0.5649291,1.6427124,1.0
-0.36539117,0.63662755,0.015110137,5.3268785,1.0
0.172958,-0.014264295,-0.025288241,11.030669,0.0
-0.45883155,0.044606566,-0.80334294,27.256445,0.0
0.42727336,0.7680812,0.13410884,3.140334,1.0
-0.086003035,0.8635039,0.6920494,1.7131046,1.0
-0.39169252,0.42998776,0.44818297,3.1355824,1.0
-0.96264714,-0.42837378,0.16097267,0.42696074,1.0
0.8615733,-0.3220062,-0.75983375,1.018373,1.0
0.4900891,0.8214701,-0.5255506,4.6021705,1.0
0.2749665,0.8216995,0.3842735,0.15472648,1.0
0.92890835,-0.96594834,0.35314152,5.394389,1.0
0.96330845,0.38961482,0.5239478,1.7553316,1.0
-0.14958164,-0.7222131,-0.5676274,23.25447,1.0
0.5294005,-0.89078826,-0.019754022,14.870528,1.0
-0.63861966,0.2618497,0.10248407,4.896934,1.0
-0.3353969,0.9576364,-0.59356964,11.868414,0.0
0.33405212,0.14956853,-0.89604944,14.046585,1.0
0.08567621,-0.5841018,-0.81781965,12.755386,0.0
0.7397114,-0.94526047,0.93724906,3.742635,1.0
-0.3450002,-0.17944409,-0.7289116,26.925684,1.0
-0.7458674,-0.17203204,0.23488747,4.584758,1.0
0.5206998,-0.03567637,0.5361577,7.495711,1.0
-0.39420313,-0.9696498,-0.073262624,11.96879,0.0
0.40667415,-0.8679182,0.33802283,4.0668736,1.0
-0.3090419,0.18344295,-0.54189306,27.81302,0.0
-0.46486327,0.865654,0.6522901,2.0752206,1.0
-0.7091136,0.2940072,0.7679023,3.1509333,1.0
0.48272106,0.031421598,-0.7294963,7.6671433,0.0
0.046204627,0.74611694,-0.92258435,5.7103024,0.0
-0.8736562,-0.9355518,-0.51513827,21.022825,0.0
0.9346845,-0.86492157,-0.36482787,12.11555,1.0
0.39372593,0.28053075,0.26524663,3.5259778,1.0
-0.6646106,0.5293796,-0.28136986,20.177567,1.0
-0.82399046,0.4591352,0.76209986,2.7368002,1.0
-0.91747224,-0.6502645,-0.15980516,1.6563057,0.0
